Image,Method,MSE,SSIM
Abdullah_Gul_0013,bandstop,102.41656494140625,0.4898043052854604
Abdullah_Gul_0014,sobel,106.838134765625,0.11701704370796155
Abdullah_Gul_0014,prewitt,106.74420166015625,0.11719931280226921
Abdullah_Gul_0014,canny,110.54327392578125,0.009081912159482904
Abdullah_Gul_0014,lowpass,72.2193603515625,0.6027390669550129
Abdullah_Gul_0014,highpass,106.94342041015625,0.1209836593851316
Abdullah_Gul_0014,bandstop,99.17620849609375,0.5860480013763819
Abdullah_Gul_0015,sobel,101.67919921875,0.09149533034393545
Abdullah_Gul_0015,prewitt,101.93475341796875,0.0916295917374994
Abdullah_Gul_0015,canny,95.94561767578125,0.0110821915289551
Abdullah_Gul_0015,lowpass,100.5787353515625,0.5944853737322269
Abdullah_Gul_0015,highpass,105.05609130859375,0.059566875932556516
Abdullah_Gul_0015,bandstop,106.86865234375,0.5303642275452146
Abdullah_Gul_0016,sobel,106.23297119140625,0.12025739813824139
Abdullah_Gul_0016,prewitt,105.9803466796875,0.11936478006454923
Abdullah_Gul_0016,canny,110.372802734375,0.01725509193733594
Abdullah_Gul_0016,lowpass,83.3936767578125,0.528862416300879
Abdullah_Gul_0016,highpass,104.85614013671875,0.1084134415866059
Abdullah_Gul_0016,bandstop,99.88385009765625,0.5838264212796196
Abdullah_Gul_0017,sobel,95.378173828125,0.1081863644745963
Abdullah_Gul_0017,prewitt,95.42864990234375,0.10762019202189313
Abdullah_Gul_0017,canny,100.139892578125,0.015273493822141026
Abdullah_Gul_0017,lowpass,75.19769287109375,0.5731709776032541
Abdullah_Gul_0017,highpass,106.9754638671875,0.12231130922338611
Abdullah_Gul_0017,bandstop,102.82440185546875,0.6100090945565858
Abdullah_Gul_0018,sobel,86.42138671875,0.16002975660029511
Abdullah_Gul_0018,prewitt,85.482421875,0.156989553431016
Abdullah_Gul_0018,canny,89.76092529296875,0.06573121475142801
Abdullah_Gul_0018,lowpass,100.1087646484375,0.425728266957803
Abdullah_Gul_0018,highpass,104.01629638671875,0.11266372259437388
Abdullah_Gul_0018,bandstop,103.55419921875,0.4247685030143672
Abdullah_Gul_0019,sobel,108.705322265625,0.06547417516327736
